書名	銷售量	統計年份	漫畫類別	畫風	作家性別	同作者代表作	出版社	連載刊物	連載頻率	目標客群	戰鬥元素	動畫化	當季動畫	真人化	這本漫畫真厲害	店員推薦	雜誌發行量	CP值	已銷售月份長度	腐度	同人創作熱度
交響情人夢　20	1209551	2008	戀愛故事	簡單派	1	1	講談社	Kiss	1	輕熟女	0	1	1	1	1	0	15	0.430555556	8	0	384
交響情人夢　21	1205037	2008	戀愛故事	簡單派	1	1	講談社	Kiss	1	輕熟女	0	1	1	1	1	0	15	0.406181015	3	0	384
交響情人夢　22	1184722	2009	戀愛故事	簡單派	1	1	講談社	Kiss	1	輕熟女	0	1	0	1	1	0	15	0.417218543	3	0	384
交響情人夢　25	1000071	2011	戀愛故事	簡單派	1	1	講談社	Kiss	1	輕熟女	0	1	0	1	1	0	15	0.38012959	11	0	384
交響情人夢　24	968112	2010	戀愛故事	簡單派	1	1	講談社	Kiss	1	輕熟女	0	1	1	1	1	0	15	0.388520971	7	0	384
重金搖滾雙面人 5	432563	2008	日常輕鬆	簡單派	0	0	其他	Young Animal	0	青年	0	0	0	1	1	1	15	0.396330275	8	0	297
重金搖滾雙面人 6	393068	2008	日常輕鬆	簡單派	0	0	其他	Young Animal	0	青年	0	0	0	1	1	1	15	0.396330275	3	0	297
羅馬浴場 4	721456	2012	日常輕鬆	簡單派	1	0	其他	Comic Beam	1	青年	0	1	1	1	1	1	3	0.264305177	11	0	169
羅馬浴場 1	585862	2010	日常輕鬆	簡單派	1	0	其他	Comic Beam	1	青年	0	0	0	0	1	1	3	0.247956403	12	0	169
羅馬浴場 5	521929	2012	日常輕鬆	簡單派	1	0	其他	Comic Beam	1	青年	0	1	1	1	1	1	3	0.264305177	2	0	169
REAL 10	578105	2011	熱血冒險	寫實派	0	1	集英社	周刊YOUNG JUMP	1	青年	0	0	0	0	0	0	70	0.319444444	12	0	100
REAL 9	567217	2010	熱血冒險	寫實派	0	1	集英社	周刊YOUNG JUMP	1	青年	0	0	0	0	0	0	70	0.333333333	12	0	100
流星花園 37	815648	2008	戀愛故事	可愛派	1	0	集英社	Margaret	0	少女	0	1	0	1	0	0	8	0.387173397	5	0	91
PLUTO 7	641606	2009	陰鬱現實	寫實派	0	1	其他	Big Comic Original	0	青年	1	0	0	0	1	0	70	0.340989399	9	0	79
PLUTO　6	631968	2008	陰鬱現實	寫實派	0	1	其他	Big Comic Original	0	青年	1	0	0	0	1	0	70	0.333922261	4	0	79
PLUTO 8	574661	2009	陰鬱現實	寫實派	0	1	其他	Big Comic Original	0	青年	1	0	0	0	1	0	70	0.404388715	5	0	79
我們的存在 16	584477	2012	戀愛故事	可愛派	1	0	其他	Betsucomi	1	少女	0	1	0	1	0	0	10	0.395143488	8	0	40
三月的獅子 7	635166	2012	日常輕鬆	可愛派	1	1	其他	Young Animal	0	青年	0	0	0	0	1	1	15	0.28952381	8	0	24
三月的獅子 5	606129	2011	日常輕鬆	可愛派	1	1	其他	Young Animal	0	青年	0	0	0	0	1	1	15	0.373333333	12	0	24
三月的獅子 6	581037	2011	日常輕鬆	可愛派	1	1	其他	Young Animal	0	青年	0	0	0	0	1	1	15	0.2	4	0	24
三月的獅子 2	508124	2009	日常輕鬆	可愛派	1	1	其他	Young Animal	0	青年	0	0	0	0	1	1	15	0.373333333	12	0	24
三月的獅子 3	496962	2009	日常輕鬆	可愛派	1	1	其他	Young Animal	0	青年	0	0	0	0	1	1	15	0.373333333	3	0	24
NANA 19	1645128	2008	陰鬱現實	寫實派	1	1	集英社	Cookie	1	少女	0	1	0	1	1	0	15	0.418981481	6	0	6
NANA 21	1505575	2009	陰鬱現實	寫實派	1	1	集英社	Cookie	1	少女	0	1	0	1	1	0	15	0.423611111	8	0	6
NANA 20	1431335	2008	陰鬱現實	寫實派	1	1	集英社	Cookie	1	少女	0	1	0	1	1	0	15	0.407407407	2	0	6
在下?本 1	896968	2013	日常輕鬆	寫實派	1	0	其他	Harta	1	青年	0	0	0	0	0	0	2	0.262686567	10	0	1
